[2024-12-14 01:10:05] Blacklist/Whitelist refresh thread started.
[2024-12-14 01:10:05] Cache cleanup thread started.
[2024-12-14 01:10:05] Active connections monitoring started.
[2024-12-14 01:10:05] Proxy server running on 127.0.0.1:9090
[2024-12-14 01:15:30] Server stopped by user.
[2024-12-14 01:15:30] Server socket closed.
[2024-12-14 01:15:30] Proxy server shutdown complete.
[2024-12-14 01:15:41] Blacklist/Whitelist refresh thread started.
[2024-12-14 01:15:41] Cache cleanup thread started.
[2024-12-14 01:47:22] Monitoring: Active connections: 0, Cache size: 0
[2024-12-14 01:47:32] Monitoring: Active connections: 0, Cache size: 0
[2024-12-14 01:47:42] Monitoring: Active connections: 0, Cache size: 0
[2024-12-14 01:47:52] Monitoring: Active connections: 0, Cache size: 0
[2024-12-14 01:48:02] Monitoring: Active connections: 0, Cache size: 0
[2024-12-14 01:48:12] Monitoring: Active connections: 0, Cache size: 0
[2024-12-14 01:48:22] Monitoring: Active connections: 0, Cache size: 0
[2024-12-14 01:48:32] Monitoring: Active connections: 0, Cache size: 0
[2024-12-14 01:48:42] Monitoring: Active connections: 0, Cache size: 0
[2024-12-14 01:48:52] Monitoring: Active connections: 0, Cache size: 0
[2024-12-14 01:49:02] Monitoring: Active connections: 0, Cache size: 0
[2024-12-14 01:49:12] Monitoring: Active connections: 0, Cache size: 0
[2024-12-14 01:49:22] Monitoring: Active connections: 0, Cache size: 0
[2024-12-14 01:49:32] Monitoring: Active connections: 0, Cache size: 0
[2024-12-14 01:49:42] Monitoring: Active connections: 0, Cache size: 0
[2024-12-14 01:49:52] Monitoring: Active connections: 0, Cache size: 0
[2024-12-14 01:50:02] Monitoring: Active connections: 0, Cache size: 0
[2024-12-14 01:50:12] Monitoring: Active connections: 0, Cache size: 0
[2024-12-14 01:50:22] Monitoring: Active connections: 0, Cache size: 0
[2024-12-14 01:50:32] Monitoring: Active connections: 0, Cache size: 0
[2024-12-14 01:50:42] Monitoring: Active connections: 0, Cache size: 0
[2024-12-14 01:50:52] Monitoring: Active connections: 0, Cache size: 0
[2024-12-14 01:51:02] Monitoring: Active connections: 0, Cache size: 0
[2024-12-14 01:51:12] Monitoring: Active connections: 0, Cache size: 0
[2024-12-14 01:51:22] Monitoring: Active connections: 0, Cache size: 0
[2024-12-14 01:51:32] Monitoring: Active connections: 0, Cache size: 0
[2024-12-14 01:51:42] Monitoring: Active connections: 0, Cache size: 0
[2024-12-14 01:51:52] Monitoring: Active connections: 0, Cache size: 0
[2024-12-14 01:52:02] Monitoring: Active connections: 0, Cache size: 0
[2024-12-14 01:52:12] Monitoring: Active connections: 0, Cache size: 0
[2024-12-14 01:52:22] Monitoring: Active connections: 0, Cache size: 0
[2024-12-14 01:52:32] Monitoring: Active connections: 0, Cache size: 0
[2024-12-14 01:52:42] Monitoring: Active connections: 0, Cache size: 0
[2024-12-14 01:52:52] Monitoring: Active connections: 0, Cache size: 0
[2024-12-14 01:53:02] Monitoring: Active connections: 0, Cache size: 0
[2024-12-14 01:53:12] Monitoring: Active connections: 0, Cache size: 0
[2024-12-14 01:53:22] Monitoring: Active connections: 0, Cache size: 0
[2024-12-14 01:53:32] Monitoring: Active connections: 0, Cache size: 0
[2024-12-14 01:53:42] Monitoring: Active connections: 0, Cache size: 0
[2024-12-14 01:53:52] Monitoring: Active connections: 0, Cache size: 0
[2024-12-14 01:54:02] Monitoring: Active connections: 0, Cache size: 0
[2024-12-14 01:54:12] Monitoring: Active connections: 0, Cache size: 0
[2024-12-14 01:54:22] Monitoring: Active connections: 0, Cache size: 0
[2024-12-14 01:54:32] Monitoring: Active connections: 0, Cache size: 0
[2024-12-14 01:54:42] Monitoring: Active connections: 0, Cache size: 0
[2024-12-14 01:54:52] Monitoring: Active connections: 0, Cache size: 0
[2024-12-14 01:55:02] Monitoring: Active connections: 0, Cache size: 0
[2024-12-14 01:55:12] Monitoring: Active connections: 0, Cache size: 0
[2024-12-14 01:55:22] Monitoring: Active connections: 0, Cache size: 0
[2024-12-14 01:55:32] Monitoring: Active connections: 0, Cache size: 0
[2024-12-14 01:55:42] Monitoring: Active connections: 0, Cache size: 0
[2024-12-14 01:55:52] Monitoring: Active connections: 0, Cache size: 0
[2024-12-14 01:56:02] Monitoring: Active connections: 0, Cache size: 0
[2024-12-14 01:56:12] Monitoring: Active connections: 0, Cache size: 0
[2024-12-14 01:56:22] Monitoring: Active connections: 0, Cache size: 0
[2024-12-14 01:56:32] Monitoring: Active connections: 0, Cache size: 0
[2024-12-14 01:56:42] Monitoring: Active connections: 0, Cache size: 0
[2024-12-14 01:56:52] Monitoring: Active connections: 0, Cache size: 0
[2024-12-14 01:57:02] Monitoring: Active connections: 0, Cache size: 0
[2024-12-14 01:57:12] Monitoring: Active connections: 0, Cache size: 0
[2024-12-14 01:57:22] Monitoring: Active connections: 0, Cache size: 0
[2024-12-14 01:57:32] Monitoring: Active connections: 0, Cache size: 0
[2024-12-14 01:57:42] Monitoring: Active connections: 0, Cache size: 0
[2024-12-14 01:57:52] Monitoring: Active connections: 0, Cache size: 0
[2024-12-14 01:58:02] Monitoring: Active connections: 0, Cache size: 0
[2024-12-14 01:58:12] Monitoring: Active connections: 0, Cache size: 0
[2024-12-14 01:58:22] Monitoring: Active connections: 0, Cache size: 0
[2024-12-14 01:58:32] Monitoring: Active connections: 0, Cache size: 0
[2024-12-14 01:58:42] Monitoring: Active connections: 0, Cache size: 0
[2024-12-14 01:58:52] Monitoring: Active connections: 0, Cache size: 0
[2024-12-14 01:59:02] Monitoring: Active connections: 0, Cache size: 0
[2024-12-14 01:59:12] Monitoring: Active connections: 0, Cache size: 0
[2024-12-14 01:59:22] Monitoring: Active connections: 0, Cache size: 0
[2024-12-14 01:59:32] Monitoring: Active connections: 0, Cache size: 0
[2024-12-14 01:59:42] Monitoring: Active connections: 0, Cache size: 0
[2024-12-14 01:59:52] Monitoring: Active connections: 0, Cache size: 0
